time,reference,state
10.82,1392,2257.26
10.83,1392,2257.169
10.84,1392,2257.386
10.85,1392,2257.904
10.86,1392,2258.673
10.87,1392,2259.605
10.88,1424,2260.584
10.89,1424,2261.49
10.9,1424,2262.215
10.91,1424,2262.678
10.92,1424,2262.842
10.93,1424,2262.715
10.94,1456,2262.347
10.95,1456,2261.824
10.96,1456,2261.25
10.97,1456,2260.726
10.98,1456,2260.339
10.99,1456,2260.14
11,1488,2260.136
11.01,1488,2260.289
11.02,1488,2260.52
11.03,1488,2260.724
11.04,1488,2260.785
11.05,1488,2260.599
11.06,1488,2260.091
11.07,1488,2259.228
11.08,1520,2258.033
11.09,1520,2256.583
11.1,1520,2255
11.11,1520,2253.437
11.12,1520,2252.06
11.13,1520,2251.018
11.14,1552,2250.429
11.15,1552,2250.356
11.16,1552,2250.805
11.17,1552,2251.72
11.18,1552,2253.003
11.19,1552,2254.522
11.2,1584,2256.138
11.21,1584,2257.721
11.22,1584,2259.168
11.23,1584,2260.411
11.24,1584,2261.417
11.25,1584,2262.189
11.26,1584,2262.751
11.27,1584,2263.139
11.28,1584,2263.39
11.29,1584,2263.532
11.3,1584,2263.579
11.31,1584,2263.531
11.32,1584,2263.377
11.33,1584,2263.102
11.34,1584,2262.69
11.35,1584,2262.137
11.36,1584,2261.448
11.37,1584,2260.644
11.38,1584,2259.758
11.39,1584,2258.834
11.4,1584,2257.918
11.41,1584,2257.058
11.42,1584,2256.294
11.43,1584,2255.657
11.44,1584,2255.167
11.45,1584,2254.831
11.46,1584,2254.644
11.47,1584,2254.587
11.48,1584,2254.635
11.49,1584,2254.748
11.5,1584,2254.884
11.51,1584,2254.998
11.52,1584,2255.047
11.53,1584,2254.999
11.54,1584,2254.835
11.55,1584,2254.559
11.56,1584,2254.195
11.57,1584,2253.792
11.58,1584,2253.413
11.59,1584,2253.13
11.6,1584,2253.012
11.61,1584,2253.11
11.62,1616,2253.447
11.63,1616,2254.014
